PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Label
-2474.4185,-3195.848,-1297.4963,-1239.906,1534.5577,-663.3162,-1909.1074,1539.22,0
-1516.4951,-1492.1394,113.78011,2106.8076,623.3778,420.4714,410.49887,-393.27866,0
471.0817,2738.9084,1536.6621,-170.66032,579.7401,532.69366,1756.7375,173.72168,0
-1516.687,1300.0999,2.7168028,-1663.6323,-1504.0299,-182.44118,278.42093,-164.23349,0
-3423.0203,2464.2795,1738.6323,-270.73343,1895.1306,-939.5536,2114.1018,1121.2783,0
-2376.3757,1005.04315,786.3033,40.976048,1056.8162,-708.0348,-196.9082,771.0371,0
-814.11743,3069.8809,2523.6167,-516.44446,2213.672,363.8745,1735.403,-137.76268,0
2141.5337,-1598.4818,-1988.8042,1426.3611,-1422.1334,1067.402,1654.6403,1242.3862,0
-1933.0319,429.48642,-1045.5679,252.45811,-1060.3921,-869.61865,-1648.0907,563.01154,0
1734.642,-960.575,48.363194,1882.3262,1397.0499,1548.3904,-2195.9507,326.9531,0
-1297.327,1404.0835,-290.23132,-3724.3655,846.1342,-223.65991,2027.3618,1590.4257,0
815.20624,-2405.2605,-2767.686,-2060.4238,743.9212,-679.6937,-2385.6777,129.81523,0
-655.8353,2224.6602,871.02216,-2992.75,1586.3965,162.02873,613.24567,211.64207,0
-2679.2485,1851.13,655.2936,439.0255,394.9972,-470.60684,1729.5117,-93.58479,0
488.07678,2478.93,1456.9082,-133.00354,706.419,656.67285,1720.1318,246.39032,0
-1660.8539,183.00508,-50.073296,-1870.9099,623.2093,490.23187,1407.3481,1015.33484,0
-2612.773,2111.6472,1104.1941,-1177.4169,1722.3102,-333.62326,849.911,132.19905,0
555.46796,2793.855,2766.2122,1215.0636,1810.3977,-395.68002,425.04944,492.58136,0
-1533.8328,-2601.341,-1928.6743,387.99268,230.734,-110.04666,-303.17383,-144.79436,0
-2965.0906,889.1807,1201.6091,919.88116,290.7516,-1061.9679,549.18726,-199.82938,0
664.61304,2902.749,163.62286,645.76215,-599.098,651.9195,1296.3799,-113.40197,0
2967.1418,1014.96564,-3264.0586,1877.2495,-1815.0342,-189.94618,-1021.3885,461.21738,0
281.57236,3141.3694,2733.3162,1451.7865,1192.2349,7.003163,597.8266,1241.3538,0
481.88217,2523.9565,-1907.4348,-2033.3984,1162.7131,-1860.7017,137.32275,451.2866,0
-1631.9438,1182.2761,-297.70892,-3013.0933,761.617,329.07916,334.41537,1043.4749,0
-3060.2424,1313.7572,-275.93875,-1200.5082,-520.5381,-692.9409,625.4253,1036.0079,0
-1654.1085,1932.8586,2267.739,-1070.1527,1233.9628,-67.79149,-507.32336,1048.463,0
-2315.6526,-1804.3065,949.5647,2630.6953,2154.4717,611.2834,-440.80368,842.3754,0
-2229.2332,2153.6135,10.397156,342.53564,-342.11993,-655.76276,2064.9736,-515.3703,0
-2506.4072,1755.0591,1682.4215,863.8023,1511.2495,-1096.6191,1172.229,732.5627,0
-2362.753,1018.2022,238.07881,-227.1693,-822.709,-301.6846,436.90924,-1267.8032,0
-256.47705,1960.5057,1326.2057,1392.4192,449.33273,-407.5563,866.77264,858.9505,0
-831.39526,-1338.309,-247.31876,1670.359,-69.86207,26.291191,-961.169,461.05853,0
-174.13588,2582.2446,1964.1455,-274.3008,1769.5797,322.15826,714.9405,155.80417,0
-2399.323,1611.8065,1861.8993,506.74005,639.08685,-24.542786,1190.1547,558.2863,0
-403.0741,-116.42983,1260.4208,-2018.6698,114.67661,1486.6003,146.9179,257.61435,0
-1210.9945,688.57745,-925.3664,-638.3671,-376.6433,-505.10315,-547.7291,1534.1512,0
-1748.5945,1106.8896,-879.83405,108.31892,-973.306,-1378.6542,1570.2083,60.695923,0
2440.557,1482.2281,-3438.2983,-1067.0349,-137.01137,-1066.426,-3194.3577,-551.5768,0
2556.5178,2989.069,-1850.5057,1170.1117,-127.5653,-324.11902,757.2677,21.956026,0
-27.318157,-2263.3306,-2044.8269,1015.45184,1119.5193,-277.06976,-1072.6776,390.01666,0
1957.8898,2838.2263,-744.19183,-871.9056,772.66125,45.538677,1874.2542,-187.31586,0
826.94366,3354.2183,-1930.1128,-1851.825,182.25732,-1243.3502,594.0088,1018.55133,0
339.6881,-3456.5444,549.08856,-2140.0312,1832.7963,-448.29422,-826.1108,253.09769,0
-1923.672,786.53644,2154.2715,-0.5348993,1900.0677,-745.1007,-419.6704,994.0377,0
-255.57518,-1795.6063,1313.6836,865.03467,2189.2876,-587.45123,-2047.8994,1497.0486,0
-1022.2572,-790.0749,-1097.9042,-1452.954,852.64954,923.94116,997.8278,556.86273,0
1963.9733,4378.7725,-1884.7017,168.43613,5.305185,-1227.0272,1919.7255,310.1622,0
56.09748,2431.348,-399.7607,1349.1135,-3122.0571,554.97345,2301.59,1620.7675,0
880.28406,1031.3773,654.46356,-2697.7537,1220.8217,964.76544,-523.5889,-1542.6599,0
2769.9993,1767.3832,-3527.069,-516.64624,-446.6969,-910.5095,-3182.099,-196.59033,0
-2892.5798,135.9712,2148.5066,1969.8922,891.21313,-1533.893,462.0413,440.50677,0
2037.2758,-635.7587,-2217.223,-477.0475,437.78146,31.052597,-2474.6511,123.33598,0
3494.4482,-848.56586,-1230.2621,-52.729202,-620.04126,-226.127,-810.03156,-193.04817,0
-393.34802,1029.1761,-70.0393,-196.38565,1119.1444,1503.9952,650.1266,-263.30228,0
706.33563,-1525.7844,-1828.6595,720.5284,722.9072,-1984.3351,-1009.1516,370.91287,0
325.52014,2104.7102,-1926.1847,-298.97266,1125.2289,-1237.5486,78.00932,43.768066,0
-1104.5032,1063.9088,494.50195,1008.3404,871.3216,-502.19855,182.6045,915.6393,0
